client_id,path,sentence,up_votes,down_votes,age,gender,accent,label
c5c3feeec3e0f01c74aab029a20049fa20d8548165304d6963807e1eb7dcd4e7bd90cd8201e22ba4133af38b1111cefdfb486fba971a1d5be001d87027851cc0,common_voice_en_18091824.mp3,Many hands make light work.,2,0,fifties,male,england,2
68fac73a3907fd26da9436c318eab9c266f63eda630b8016081aee33271b4fcc6393e3770efebb9c73e0cfca60cbfc898ad23cb5bca8279d3185f3d0d4e93b25,common_voice_en_19694694.mp3,"""Sports Illustrated"" photographer Lane Stewart recruited Berton, his friend, for the role.",2,0,fifties,female,canada,3
a042182e6ebf78a6547ec308698d871de40b6656f75f0bb18d1e52469668a4a4cd4a0b2b59e8463f6e0060036b8732de5fbbc78cd45803c8ac8dc69f3db7322f,common_voice_en_20141387.mp3,"""Flame of Recca"" has been adapted into two games to date.",2,0,fifties,male,,2
63c0751ea4cdc90984bee61848e2b29c3b45f6f798c9d8f8bc74781538097222a455918f78a35bbfa8bb31d4ddde244a06b73e2485189986680236c8c1f6f09b,common_voice_en_19703161.mp3,"During this deployment, she visited Guam, Japan, and New Caledonia.",2,0,fifties,female,canada,3
64fb895aaafe2eec5163f93f0bdd21feaf0c507809ab67552aabff2e909f375194a7056868c6a860ec50e451dab850d6caa7143ac071a00d0410f8097d6742ae,common_voice_en_694139.mp3,Watch your step!,2,0,fifties,male,us,2
d9dc51de5a176954fecae95424e1abf9d13e8e67a071c7198eb342424c239c13796839d101cd35bfffd17f65b6ae78ee61b4188b651ac1f7a80d7d8d890cfcbf,common_voice_en_17297594.mp3,Is it actually unusual for a planet that its axis is tilted?,2,0,fifties,male,australia,2
36b83dc2895ee7ca3860332467eae1004c2b17adbd25614e15f889989fc897b8c9e5760d973eaad41a0e88bf8bf7846b75184b636cc58a1601a2fe7b3034b84c,common_voice_en_20092775.mp3,At Cambridge he was a member of the Pitt Club.,2,0,fifties,female,,3
d2a25f913d8e82a777ae7077fa11767fa566a97e54bcd61454a7132aaf808ea55e2b39354cd9508dc1b655813ed2c0246b2f92436c0cfab7b5591a61088359a7,common_voice_en_18703810.mp3,"Similarly, the Sé of Braga also possessed lands within the region.",2,1,fifties,male,england,2
4d2903b5696d1b547f8cc87026bc62315a431f40bc1e4f9781196c69da376285991604bc08908eb9efa965d5ceb30d366d5ba6f1a0bbd10789cea0bc14cdc7b0,common_voice_en_132245.mp3,But they were not there.,3,0,fifties,female,canada,3
57f1cfcace7ec6a60f31553deaa2490a871cc6abdc0478cf75a0a7ddd3a4107e1c706a2baf589b29f2500301fcf57c20fee0d19739833f0abf283da81385d5dd,common_voice_en_15794294.mp3,What was it all about?,2,0,fifties,male,england,2
35efc9e789db723321e9df9167d3de8ade4cfdff4693534dc74699f36b47b0e676d9b7049bf3e2a8932101997d01dd3e7b05e766e9a3ee3cdf7d4913628f80c2,common_voice_en_87586.mp3,"The boy was embarrassed, and confessed that he had observed nothing.",2,0,fifties,male,england,2
